name,type,manufacturer,first_flight,status,range_km,cruise_speed_kmh,max_speed_kmh,capacity_passengers,crew,length_m,wingspan_m,era,mission,key_features,design_philosophy,short_description
F-16 Fighting Falcon,fighter,Lockheed Martin,1974,Active,3900,850,2124,,1,15.03,9.96,4th generation (1970s-80s),multirole air superiority and ground attack,"Single engine, bubble canopy, side-stick, fly-by-wire, relaxed static stability, cropped delta wing, 9-g capable, M61 cannon","Lightweight Fighter program: small agile aircraft, high thrust-to-weight, energy-maneuverability theory, low cost, easy maintenance",American single-engine supersonic multirole fighter. Designed for day fighter evolved to all-weather. Most common fixed-wing military aircraft. Bubble canopy and reclined seat reduce g-force. First fighter purpose-built for 9-g maneuvers.
F-22 Raptor,fighter,Lockheed Martin,1997,Active,2960,1838,2410,,1,18.9,13.56,5th generation (1990s-2000s),air superiority with ground attack and electronic warfare,"Twin engine, stealth, supercruise (Mach 1.5 without afterburner), supermaneuverability, thrust vectoring, internal weapons bays, sensor fusion","Advanced Tactical Fighter: dominate contested airspace, combine stealth with speed and agility, first to integrate supercruise and supermaneuverability","American twin-engine stealth air superiority fighter. First operational 5th-gen. Combines stealth, supercruise, supermaneuverability. Diamond delta wings, canted tails. Replaced F-15 in USAF squadrons."
Supermarine Spitfire,fighter,Supermarine,1936,Retired,760,580,717,,1,9.12,11.23,WWII (1936-1948),interceptor and fighter-bomber,"Elliptical wing, Rolls-Royce Merlin/Griffon engine, stressed-skin monocoque, thin wing cross-section, eight-gun armament","Thinnest possible wing for speed, elegant aerodynamics from Schneider Trophy seaplanes, home defense interceptor",British single-seat fighter. Icon of Battle of Britain. Elliptical wing minimized induced drag. Evolved through many variants from Mk I to Mk 24. Only British fighter in continuous production throughout WWII.
SR-71 Blackbird,reconnaissance,Lockheed,1964,Retired,5400,3060,3540,,2,32.74,16.94,Cold War (1960s-1990s),strategic high-altitude reconnaissance,"Mach 3.2+, 85000 ft altitude, titanium airframe, chines for lift and stealth, J58 engines, signals intel and cameras","Speed and altitude as survivability: outrun missiles, fly above threats, minimal radar cross-section via shaping",American long-range Mach 3+ strategic reconnaissance aircraft. Operated at 85000 ft. Evaded threats by accelerating. Titanium construction for thermal expansion. Still holds speed and altitude records.
Lockheed U-2,reconnaissance,Lockheed,1955,Active,10600,690,821,,1,19.2,31.4,Cold War to present,high-altitude intelligence gathering,"Single engine, 70000+ ft ceiling, glider-like high aspect ratio wings, bicycle landing gear, specialized cameras","Fly above enemy reach: altitude over speed, sailplane-inspired lightweight design, 70k ft beyond interceptors",American single-engine high-altitude reconnaissance. Dragon Lady. Designed for 70000 ft over Soviet Union. Glider-like 23:1 glide ratio. Narrow coffin corner at cruise. Difficult to fly and land.
F-117 Nighthawk,attack,Lockheed,1981,Retired,1720,684,993,,1,20.09,13.2,Cold War (1980s-2000s),stealth precision strike,"Faceted flat surfaces for radar deflection, subsonic, twin engine, internal weapons bay, fly-by-wire for unstable design","First operational stealth: faceted surfaces scatter radar, subsonic to avoid sonic boom, attack not dogfight","American stealth attack aircraft. Faceted shape minimizes radar cross-section. Aerodynamically unstable requires constant fly-by-wire. First operational stealth design. Retired 2008, some kept for training."
B-52 Stratofortress,bomber,Boeing,1952,Active,14160,844,957,,5,48.5,56.4,Cold War to present,strategic bombing nuclear and conventional,"Eight turbojet engines, swept wings, 70000 lb weapons capacity, 8800 mile unrefueled range, flexible airframe","Long-range heavy payload: outlast competitors, flexible design, low operating cost, conventional and nuclear","American subsonic strategic bomber. BUFF. In service since 1955. Carries 70000 lb of weapons. Long range without refueling. Used in Vietnam, Gulf War, Afghanistan. Expected to serve into 2050s."
A-10 Thunderbolt II,attack,Fairchild Republic,1972,Active,3900,560,706,,1,16.26,17.53,1970s to present,close air support,"GAU-8 30mm cannon, titanium bathtub armor, straight wing, twin turbofan, high survivability, short rough-field takeoff","Tank killer: built around cannon, survivability over speed, loiter time, operate from austere forward bases",American single-seat close air support. Warthog. Airframe designed around GAU-8 Avenger cannon. 1200 lb titanium armor protects pilot. Can absorb damage and continue. Short takeoff from unpaved runways.
Concorde,airliner,BAC / Aerospatiale,1969,Retired,7250,2145,2330,128,3,61.66,25.6,supersonic era (1969-2003),supersonic transatlantic passenger,"Ogival delta wing, four Olympus turbojets with reheat, droop nose, Mach 2 cruise, aluminium construction","Double speed of sound: slender delta for supersonic efficiency, vortex lift for low-speed, premium travel","Anglo-French supersonic airliner. Mach 2 transatlantic. Ogival delta wing, variable intake ramps. First airliner with analogue fly-by-wire. Retired 2003. Only competitor was Tu-144."
F-4 Phantom II,fighter,McDonnell Douglas,1958,Active,2600,940,2370,,2,19.2,11.7,Cold War (1960s-1990s),interceptor and fighter-bomber,"Twin engine, Mach 2.2, two-seat, no internal cannon initially, nine hardpoints, 18000 lb weapons","Multirole heavy fighter: speed and payload over agility, radar-guided missiles, fleet defense and strike","American twin-engine supersonic interceptor and fighter-bomber. Most produced American supersonic military aircraft. Set 15 world records. Vietnam War workhorse. Evolved for air superiority, ground attack, reconnaissance."
